window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
0,6,Jogging,84.75,87.75,0.5,0.5,0.5
1,6,Jogging,56.25,59.25,1.0,1.0,0.5
2,6,Jogging,135.75,138.75,0.5,0.0,0.5
3,6,Jogging,53.25,56.25,0.5,0.5,0.5
4,6,Walking,10.5,13.5,0.0,0.0,0.5
5,6,Walking,558.75,561.75,0.5,0.5,1.0
6,6,Walking,612.0,615.0,1.0,1.0,1.0
7,6,Walking,355.5,358.5,1.0,1.0,1.0
8,6,Upstairs,33.75,36.75,0.0,0.0,1.0
9,6,Upstairs,83.25,86.25,0.5,0.5,0.5
10,6,Upstairs,3.0,6.0,0.0,0.0,1.0
11,6,Upstairs,128.25,131.25,1.0,1.0,1.0
12,6,Downstairs,62.25,65.25,0.0,0.0,0.5
13,6,Downstairs,43.5,46.5,0.0,0.0,0.5
14,6,Downstairs,39.75,42.75,0.0,0.0,1.0
15,6,Downstairs,73.5,76.5,0.0,0.5,0.5
16,6,Sitting,21.75,24.75,1.0,0.5,1.0
17,6,Sitting,59.25,62.25,1.0,0.5,1.0
18,6,Sitting,41.25,44.25,1.0,0.5,1.0
19,6,Sitting,60.0,63.0,1.0,0.5,1.0
20,6,Standing,23.25,26.25,0.0,0.5,0.5
21,6,Standing,4.5,7.5,0.0,0.5,0.5
22,6,Standing,5.25,8.25,0.0,0.5,0.5
23,6,Standing,8.25,11.25,1.0,1.0,1.0
24,6,Walking,8.25,11.25,0.0,0.5,1.0
0,7,Jogging,135.75,138.75,0.0,0.5,0.5
1,7,Jogging,191.25,194.25,1.0,1.0,0.0
2,7,Jogging,322.5,325.5,1.0,1.0,0.0
3,7,Jogging,116.25,119.25,1.0,1.0,0.0
4,7,Walking,3.0,6.0,0.0,1.0,0.56
5,7,Walking,697.5,700.5,0.0,1.0,0.0
6,7,Walking,558.75,561.75,0.5,0.0,1.0
7,7,Walking,655.5,658.5,0.5,0.0,0.95
8,7,Upstairs,216.75,219.75,0.5,0.43,0.5
9,7,Upstairs,138.0,141.0,0.5,0.5,0.5
10,7,Upstairs,333.75,336.75,0.5,1.0,0.0
11,7,Upstairs,130.5,133.5,0.0,1.0,0.0
12,7,Downstairs,126.0,129.0,1.0,0.0,0.0
13,7,Downstairs,23.25,26.25,1.0,0.5,0.0
14,7,Downstairs,119.25,122.25,1.0,0.5,0.0
15,7,Downstairs,134.25,137.25,0.5,0.5,0.0
16,7,Standing,93.0,96.0,1.0,1.0,0.5
17,7,Standing,77.25,80.25,1.0,0.0,0.5
18,7,Standing,71.25,74.25,1.0,1.0,0.5
19,7,Standing,41.25,44.25,0.0,0.5,1.0
20,7,Sitting,0.0,3.0,0.0,0.5,1.0
21,7,Sitting,49.5,52.5,0.0,0.5,1.0
22,7,Sitting,69.75,72.75,0.5,0.5,1.0
23,7,Sitting,66.0,69.0,0.0,1.0,1.0
24,7,Sitting,105.75,108.75,0.0,1.0,1.0
0,3,Walking,957.75,960.75,1.0,0.5,0.5
1,3,Walking,42.0,45.0,1.0,0.5,0.5
2,3,Walking,871.5,874.5,0.5,0.5,0.5
3,3,Walking,63.0,66.0,1.0,0.5,0.5
4,3,Jogging,117.75,120.75,1.0,0.5,0.5
5,3,Jogging,993.75,996.75,1.0,0.5,0.5
6,3,Jogging,941.25,944.25,1.0,0.5,0.5
7,3,Jogging,3.0,6.0,1.0,1.0,1.0
8,3,Sitting,11.25,14.25,0.0,1.0,1.0
9,3,Sitting,39.75,42.75,0.0,1.0,1.0
10,3,Sitting,0.75,3.75,0.0,1.0,1.0
11,3,Sitting,60.0,63.0,0.0,1.0,1.0
12,3,Standing,105.75,108.75,0.0,1.0,1.0
13,3,Standing,69.75,72.75,0.0,0.5,1.0
14,3,Standing,111.0,114.0,0.0,1.0,1.0
15,3,Standing,1.5,4.5,0.0,0.5,1.0
16,3,Upstairs,37.5,40.5,0.5,0.5,0.5
17,3,Upstairs,303.0,306.0,0.0,0.5,0.5
18,3,Upstairs,15.0,18.0,0.0,0.5,0.5
19,3,Upstairs,26.25,29.25,0.0,0.5,0.5
20,3,Downstairs,33.0,36.0,0.5,1.0,1.0
21,3,Downstairs,295.5,298.5,0.5,0.5,0.5
22,3,Downstairs,167.25,170.25,0.0,0.5,1.0
23,3,Downstairs,9.75,12.75,0.0,0.5,0.5
24,3,Jogging,118.5,121.5,1.0,0.5,0.5
0,5,Walking,60.75,63.75,0.5,0.5,0.5
1,5,Walking,601.5,604.5,0.5,0.5,0.0
2,5,Walking,6.0,9.0,1.0,0.5,0.5
3,5,Walking,180.75,183.75,0.0,0.5,0.5
4,5,Jogging,216.75,219.75,0.5,0.5,1.0
5,5,Jogging,179.25,182.25,1.0,0.5,1.0
6,5,Jogging,249.75,252.75,1.0,0.5,1.0
7,5,Jogging,107.25,110.25,1.0,0.5,1.0
8,5,Upstairs,39.75,42.75,0.0,0.5,0.0
9,5,Upstairs,230.25,233.25,0.0,0.5,0.5
10,5,Upstairs,239.25,242.25,0.0,0.0,0.5
11,5,Upstairs,240.0,243.0,0.0,0.0,0.5
12,5,Downstairs,219.75,222.75,0.0,0.5,0.0
13,5,Downstairs,228.0,231.0,0.0,0.5,0.5
14,5,Downstairs,185.25,188.25,0.0,0.5,1.0
15,5,Downstairs,191.25,194.25,0.5,0.5,0.5
16,5,Sitting,65.25,68.25,0.0,0.5,1.0
18,5,Sitting,46.5,49.5,0.0,1.0,1.0
19,5,Sitting,33.75,36.75,0.0,1.0,1.0
20,5,Standing,70.5,73.5,0.0,1.0,1.0
21,5,Standing,31.5,34.5,0.0,0.5,1.0
22,5,Standing,42.0,45.0,0.0,0.5,1.0
23,5,Standing,38.25,41.25,0.0,1.0,1.0
24,5,Walking,94.5,97.5,0.5,0.5,1.0
0,6,Jogging,486.75,489.75,0.5,0.5,0.5
1,6,Jogging,198.75,201.75,0.5,0.5,0.5
2,6,Jogging,83.25,86.25,0.0,0.5,0.5
3,6,Jogging,225.75,228.75,0.0,0.5,0.5
4,6,Walking,385.5,388.5,0.5,0.5,0.5
5,6,Walking,498.0,501.0,1.0,0.0,0.5
6,6,Walking,534.0,537.0,0.5,0.5,1.0
7,6,Walking,367.5,370.5,1.0,0.5,1.0
8,6,Upstairs,91.5,94.5,0.0,0.0,0.0
9,6,Upstairs,131.25,134.25,0.0,0.5,0.5
10,6,Upstairs,4.5,7.5,0.0,0.0,0.5
11,6,Upstairs,107.25,110.25,0.5,0.5,1.0
12,6,Downstairs,94.5,97.5,0.0,0.5,0.5
13,6,Downstairs,132.0,135.0,0.5,0.0,0.5
14,6,Downstairs,93.75,96.75,0.0,0.0,0.5
15,6,Downstairs,39.0,42.0,0.0,0.5,1.0
16,6,Sitting,29.25,32.25,0.0,1.0,1.0
17,6,Sitting,42.0,45.0,0.0,1.0,1.0
18,6,Sitting,22.5,25.5,0.0,1.0,1.0
19,6,Sitting,11.25,14.25,0.0,1.0,1.0
20,6,Standing,18.75,21.75,0.0,0.5,1.0
21,6,Standing,5.25,8.25,0.0,0.5,1.0
22,6,Standing,30.0,33.0,0.0,1.0,1.0
23,6,Standing,7.5,10.5,0.0,1.0,1.0
24,6,Jogging,99.75,102.75,0.0,0.0,0.0
0,7,Jogging,75.75,78.75,0.5,0.5,0.5
1,7,Jogging,798.75,801.75,1.0,1.0,0.5
2,7,Jogging,335.25,338.25,1.0,1.0,0.5
3,7,Jogging,694.5,697.5,1.0,1.0,0.5
4,7,Walking,594.0,597.0,1.0,0.5,1.0
5,7,Walking,530.25,533.25,1.0,0.5,0.5
6,7,Walking,271.5,274.5,1.0,0.5,0.5
7,7,Walking,638.25,641.25,0.5,0.5,0.5
8,7,Upstairs,3.0,6.0,0.5,0.5,0.5
9,7,Upstairs,357.0,360.0,0.0,0.5,1.0
10,7,Upstairs,133.5,136.5,0.0,0.5,1.0
11,7,Upstairs,325.5,328.5,0.0,0.5,0.5
12,7,Downstairs,234.75,237.75,0.0,0.5,0.5
13,7,Downstairs,134.25,137.25,0.5,0.5,0.5
14,7,Downstairs,1.5,4.5,0.0,0.5,1.0
15,7,Downstairs,132.0,135.0,0.0,0.5,0.5
16,7,Standing,66.75,69.75,0.5,1.0,1.0
17,7,Standing,76.5,79.5,0.0,1.0,1.0
18,7,Standing,51.0,54.0,0.5,1.0,1.0
19,7,Standing,6.75,9.75,0.0,1.0,1.0
20,7,Sitting,64.5,67.5,0.0,1.0,1.0
21,7,Sitting,92.25,95.25,0.0,1.0,1.0
22,7,Sitting,87.75,90.75,0.0,1.0,1.0
23,7,Sitting,51.75,54.75,0.0,1.0,1.0
24,7,Walking,766.5,769.5,0.0,0.5,0.5
