window_idx,user,activity,start_time,end_time,periodicity,temporal_stability,coordination
17,5,Sitting,1.5,4.5,0.5,0.5,1.0
18,5,Sitting,46.5,49.5,0.0,0.5,1.0
19,5,Sitting,33.75,36.75,0.0,1.0,1.0
20,5,Standing,70.5,73.5,0.0,0.5,1.0
21,5,Standing,31.5,34.5,0.0,0.5,1.0
22,5,Standing,42.0,45.0,0.0,0.5,1.0
23,5,Standing,38.25,41.25,0.0,0.5,1.0
24,5,Walking,94.5,97.5,1.0,0.0,0.5
0,6,Jogging,486.75,489.75,0.5,0.5,0.5
1,6,Jogging,198.75,201.75,0.5,1.0,0.0
2,6,Jogging,83.25,86.25,0.0,0.0,0.5
3,6,Jogging,225.75,228.75,0.0,0.5,0.0
4,6,Walking,385.5,388.5,0.5,0.0,0.5
5,6,Walking,498.0,501.0,1.0,0.5,1.0
6,6,Walking,534.0,537.0,1.0,0.5,1.0
7,6,Walking,367.5,370.5,1.0,0.5,1.0
8,6,Upstairs,91.5,94.5,0.0,0.0,0.5
9,6,Upstairs,131.25,134.25,0.0,0.0,0.5
10,6,Upstairs,4.5,7.5,0.0,0.0,1.0
11,6,Upstairs,107.25,110.25,0.5,0.5,1.0
12,6,Downstairs,94.5,97.5,0.0,0.0,1.0
13,6,Downstairs,132.0,135.0,0.5,0.5,0.5
14,6,Downstairs,93.75,96.75,0.5,0.5,0.5
15,6,Downstairs,39.0,42.0,0.0,0.0,0.5
16,6,Sitting,29.25,32.25,0.0,0.5,1.0
17,6,Sitting,42.0,45.0,0.0,0.5,1.0
18,6,Sitting,22.5,25.5,0.0,1.0,1.0
19,6,Sitting,11.25,14.25,0.0,1.0,1.0
20,6,Standing,18.75,21.75,0.0,0.0,1.0
21,6,Standing,5.25,8.25,0.0,0.0,1.0
22,6,Standing,30.0,33.0,0.0,0.5,1.0
23,6,Standing,7.5,10.5,0.0,0.0,1.0
24,6,Jogging,99.75,102.75,0.5,0.5,0.5
0,7,Jogging,75.75,78.75,1.0,0.5,0.5
1,7,Jogging,798.75,801.75,1.0,0.5,0.5
2,7,Jogging,335.25,338.25,1.0,0.55,1.0
3,7,Jogging,694.5,697.5,1.0,1.0,1.0
4,7,Walking,594.0,597.0,0.0,0.0,1.0
5,7,Walking,530.25,533.25,1.0,0.5,1.0
6,7,Walking,271.5,274.5,1.0,1.0,0.5
7,7,Walking,638.25,641.25,0.5,0.0,1.0
8,7,Upstairs,3.0,6.0,1.0,0.5,0.5
9,7,Upstairs,357.0,360.0,0.5,0.5,0.5
10,7,Upstairs,133.5,136.5,1.0,0.5,1.0
11,7,Upstairs,325.5,328.5,0.0,0.0,0.5
12,7,Downstairs,234.75,237.75,0.0,0.0,0.5
13,7,Downstairs,134.25,137.25,1.0,0.5,0.5
14,7,Downstairs,1.5,4.5,1.0,1.0,0.5
15,7,Downstairs,132.0,135.0,1.0,0.5,0.5
16,7,Standing,66.75,69.75,1.0,1.0,0.5
17,7,Standing,76.5,79.5,0.5,0.5,0.5
18,7,Standing,51.0,54.0,1.0,1.0,0.5
19,7,Standing,6.75,9.75,0.0,1.0,1.0
20,7,Sitting,64.5,67.5,0.0,1.0,1.0
21,7,Sitting,92.25,95.25,0.0,1.0,1.0
22,7,Sitting,87.75,90.75,0.0,1.0,1.0
23,7,Sitting,51.75,54.75,0.0,1.0,1.0
24,7,Walking,766.5,769.5,0.45,0.0,1.0
